               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034839,            0.042174,            0.016416,             0.56895,             0.64474,             0.64665,             0.31096,            0.033187,            0.026663,            0.015679,            0.002872,            0.002872,            0.002872
                  38,            0.034698,            0.044156,            0.016084,              0.5259,             0.70399,             0.63524,             0.31425,            0.032172,            0.026367,            0.015143,            0.002674,            0.002674,            0.002674
                  39,            0.033939,            0.043974,            0.015735,             0.48014,             0.72799,             0.65363,             0.31308,            0.032481,            0.025691,            0.015495,            0.002476,            0.002476,            0.002476
                  40,            0.033607,            0.045168,             0.01519,             0.51921,             0.70875,             0.65861,              0.3206,            0.032545,            0.026757,            0.015297,            0.002278,            0.002278,            0.002278
                  41,            0.033304,            0.043622,            0.015263,             0.54524,             0.66397,             0.67307,             0.32161,            0.032605,            0.026878,            0.015659,             0.00208,             0.00208,             0.00208
                  42,            0.032161,            0.040452,            0.014725,             0.52721,             0.72078,             0.68245,             0.32556,             0.03302,            0.027541,            0.015276,            0.001882,            0.001882,            0.001882
                  43,            0.032313,            0.040656,            0.014585,             0.53726,             0.72498,             0.66428,             0.31362,            0.033831,            0.027353,            0.014706,            0.001684,            0.001684,            0.001684
                  44,            0.032526,            0.042116,            0.013803,             0.54643,             0.72242,             0.67596,             0.32375,            0.032429,            0.026904,            0.014919,            0.001486,            0.001486,            0.001486
                  45,            0.032087,            0.042604,            0.014056,             0.55236,             0.73268,             0.67524,             0.31832,            0.032686,             0.02726,            0.014493,            0.001288,            0.001288,            0.001288
                  46,            0.033162,            0.043352,            0.013657,             0.57197,              0.6277,             0.67726,             0.32696,            0.032319,            0.026177,            0.014623,             0.00109,             0.00109,             0.00109
                  47,             0.03214,            0.039669,            0.014495,              0.5612,             0.72369,             0.67471,             0.32135,            0.032651,            0.026171,            0.014838,            0.000892,            0.000892,            0.000892
                  48,            0.031694,            0.041775,             0.01383,             0.55576,             0.73782,             0.68716,             0.33734,            0.031881,            0.026725,            0.014756,            0.000694,            0.000694,            0.000694
                  49,             0.03266,            0.044596,            0.014264,             0.57481,             0.75241,             0.68824,             0.33674,            0.031724,            0.027438,            0.014649,            0.000496,            0.000496,            0.000496
